job_title,routine_task_pct,creativity_score,social_skill_score,education_level,annual_salary_usd,ai_tool_exposure,years_experience,industry,risk_level
Nurse,0.311,0.405,0.886,3,72627,0.358,10,4,0
Truck Driver,0.605,0.17,0.214,1,47802,0.78,11,3,2
HR Manager,0.445,0.536,0.775,3,69398,0.478,10,9,1
Cook / Chef,0.529,0.584,0.526,1,31984,0.379,6,11,1
Software Engineer,0.294,0.921,0.53,3,109524,0.577,10,5,0
Telemarketer,0.922,0.133,0.426,1,31001,0.885,2,1,2
Social Worker,0.151,0.678,1.0,3,50100,0.188,11,8,0
Software Engineer,0.327,0.772,0.538,4,124162,0.538,5,5,0
Pharmacist,0.626,0.545,0.589,4,130351,0.691,4,4,1
Marketing Manager,0.302,0.816,0.751,4,93530,0.512,15,7,0
Telemarketer,0.932,0.095,0.496,1,30811,0.809,2,1,2
Graphic Designer,0.371,0.899,0.531,2,56828,0.717,6,7,1
Marketing Manager,0.375,0.878,0.77,3,90914,0.464,9,7,0
Telemarketer,0.909,0.192,0.373,1,36433,0.968,2,1,2
Security Guard,0.763,0.031,0.396,1,38102,0.724,10,12,2
Security Guard,0.779,0.073,0.419,1,24980,0.73,8,12,2
Social Worker,0.194,0.489,0.979,4,47229,0.112,8,8,0
Warehouse Worker,0.755,0.097,0.08,1,43773,0.856,12,3,2
Security Guard,0.646,0.07,0.356,1,35408,0.797,8,12,2
Data Entry Clerk,0.861,0.059,0.217,1,34533,0.881,5,0,2
Truck Driver,0.673,0.276,0.063,1,47616,0.807,8,3,2
Pharmacist,0.597,0.494,0.591,5,158092,0.555,10,4,1
Warehouse Worker,0.721,0.157,0.147,1,39268,0.815,4,3,2
Data Entry Clerk,0.893,0.093,0.091,1,34949,0.949,10,0,2
Software Engineer,0.308,0.727,0.502,4,112945,0.593,13,5,1
Customer Service Rep,0.799,0.069,0.669,2,39970,0.858,2,1,2
Teacher,0.138,0.722,0.898,3,59806,0.312,10,6,0
Pharmacist,0.626,0.459,0.641,4,139133,0.565,6,4,1
Radiologist,0.464,0.528,0.617,4,311342,0.696,10,4,1
Data Entry Clerk,0.938,0.085,0.157,1,37261,0.985,10,0,2
Lawyer,0.359,0.739,0.774,4,118721,0.512,14,10,0
Software Engineer,0.2,0.633,0.545,4,103633,0.62,5,5,0
Graphic Designer,0.422,0.919,0.416,2,51608,0.651,6,7,1
Nurse,0.369,0.353,0.963,2,81381,0.326,4,4,0
Truck Driver,0.801,0.129,0.35,1,43379,0.768,0,3,2
Research Scientist,0.296,0.966,0.585,5,95993,0.327,1,5,0
Pharmacist,0.572,0.553,0.576,5,150490,0.639,3,4,1
Security Guard,0.657,0.174,0.383,1,29286,0.635,8,12,2
HR Manager,0.497,0.563,0.859,4,92019,0.558,10,9,1
Software Engineer,0.356,0.739,0.514,4,124299,0.558,3,5,1
Warehouse Worker,0.848,0.027,0.078,1,34750,0.927,6,3,2
Cook / Chef,0.573,0.614,0.562,1,35117,0.377,11,11,1
Cook / Chef,0.551,0.566,0.548,1,35814,0.327,7,11,1
Financial Analyst,0.617,0.629,0.544,4,100700,0.697,8,2,1
Cook / Chef,0.512,0.728,0.37,1,39575,0.389,15,11,1
Accountant,0.597,0.351,0.435,2,79206,0.729,12,2,2
Pharmacist,0.594,0.432,0.706,4,112775,0.58,10,4,1
Radiologist,0.491,0.522,0.526,5,264480,0.732,17,4,1
Warehouse Worker,0.823,0.2,0.106,1,42349,0.938,3,3,2
Research Scientist,0.195,0.979,0.584,4,99211,0.337,3,5,0
Lawyer,0.335,0.823,0.749,4,126160,0.583,13,10,0
Financial Analyst,0.658,0.556,0.36,4,96188,0.674,13,2,1
Lawyer,0.279,0.85,0.799,4,155783,0.562,10,10,0
Financial Analyst,0.508,0.532,0.567,4,99387,0.813,3,2,1
HR Manager,0.526,0.613,0.862,4,66018,0.422,5,9,1
HR Manager,0.421,0.545,0.755,3,70201,0.479,12,9,1
Lawyer,0.459,0.801,0.67,5,135600,0.619,1,10,1
Nurse,0.284,0.448,0.854,3,69260,0.264,3,4,0
Teacher,0.256,0.691,0.966,4,57774,0.299,7,6,0
Software Engineer,0.337,0.795,0.518,4,105228,0.601,10,5,1
Social Worker,0.23,0.508,0.994,3,50669,0.17,4,8,0
Nurse,0.382,0.421,0.766,2,85513,0.34,8,4,1
Data Entry Clerk,0.9,0.085,0.14,1,34371,1.0,8,0,2
Lawyer,0.414,0.711,0.778,4,128095,0.547,7,10,0
Truck Driver,0.829,0.257,0.144,2,44639,0.816,2,3,2
Warehouse Worker,0.862,0.204,0.091,1,43806,0.91,9,3,2
Nurse,0.304,0.381,0.972,3,59925,0.316,3,4,0
Warehouse Worker,0.804,0.171,0.066,1,38544,0.889,11,3,2
Lawyer,0.494,0.832,0.69,4,133665,0.573,10,10,1
Customer Service Rep,0.848,0.265,0.603,3,37855,0.857,12,1,2
Customer Service Rep,0.79,0.105,0.592,1,40349,0.856,4,1,2
Cook / Chef,0.667,0.556,0.537,1,33569,0.377,2,11,1
Warehouse Worker,0.93,0.166,0.022,1,32046,0.858,8,3,2
Cook / Chef,0.515,0.617,0.391,1,35113,0.444,7,11,1
Teacher,0.187,0.717,1.0,4,55490,0.16,5,6,0
Warehouse Worker,0.725,0.087,0.101,1,38223,0.839,5,3,2
Lawyer,0.382,0.817,0.745,4,147643,0.635,6,10,0
Cook / Chef,0.577,0.625,0.399,1,33508,0.402,12,11,1
Warehouse Worker,0.771,0.214,0.12,1,40367,0.875,13,3,2
Telemarketer,0.92,0.168,0.415,1,36180,0.815,11,1,2
Customer Service Rep,0.824,0.24,0.599,2,37360,0.861,9,1,2
Nurse,0.352,0.43,0.934,2,67332,0.366,17,4,0
Pharmacist,0.542,0.519,0.615,5,136375,0.656,7,4,1
Data Entry Clerk,1.0,0.044,0.11,1,24741,0.974,2,0,2
Warehouse Worker,0.774,0.246,0.1,1,41254,0.849,4,3,2
Data Entry Clerk,0.874,0.151,0.178,1,32661,0.984,8,0,2
Radiologist,0.493,0.634,0.552,5,367608,0.654,6,4,1
Pharmacist,0.639,0.45,0.701,5,130182,0.665,19,4,1
Financial Analyst,0.563,0.595,0.582,3,83492,0.698,9,2,1
Lawyer,0.307,0.807,0.671,4,138131,0.47,8,10,0
Data Entry Clerk,0.807,0.167,0.19,1,34310,0.905,7,0,2
Accountant,0.677,0.304,0.393,1,63979,0.661,12,2,2
Graphic Designer,0.468,0.909,0.62,3,54482,0.611,8,7,1
Nurse,0.3,0.437,0.886,3,77836,0.324,10,4,0
Graphic Designer,0.396,0.929,0.512,2,58353,0.664,12,7,1
Pharmacist,0.491,0.498,0.505,5,128831,0.557,7,4,1
Social Worker,0.181,0.486,0.9,4,47854,0.154,8,8,0
Lawyer,0.293,0.804,0.724,5,139977,0.563,3,10,0
Radiologist,0.462,0.49,0.508,4,303088,0.72,8,4,1
Pharmacist,0.661,0.459,0.654,4,138570,0.507,5,4,1
Telemarketer,0.934,0.105,0.509,1,32236,0.871,7,1,2
Social Worker,0.184,0.64,0.974,3,45717,0.113,4,8,0
Social Worker,0.291,0.526,0.893,3,54299,0.168,7,8,0
Lawyer,0.36,0.786,0.751,5,141131,0.523,8,10,0
Pharmacist,0.663,0.472,0.624,4,107214,0.632,12,4,1
Nurse,0.345,0.422,0.904,2,75162,0.265,10,4,0
Accountant,0.592,0.378,0.455,3,77450,0.743,5,2,2
Research Scientist,0.155,0.921,0.54,4,105811,0.392,14,5,0
Graphic Designer,0.35,0.848,0.503,3,53086,0.537,7,7,1
Cook / Chef,0.541,0.673,0.522,1,35327,0.419,9,11,1
Marketing Manager,0.225,0.794,0.813,3,93872,0.539,11,7,0
HR Manager,0.501,0.507,0.738,3,83675,0.565,15,9,1
Security Guard,0.806,0.062,0.372,1,32408,0.649,9,12,2
Security Guard,0.736,0.149,0.325,1,29735,0.727,2,12,2
Marketing Manager,0.237,0.741,0.797,3,83857,0.505,1,7,0
Warehouse Worker,0.74,0.176,0.21,1,36820,0.886,9,3,2
Nurse,0.355,0.437,0.979,3,81852,0.271,4,4,0
Nurse,0.34,0.429,0.861,3,70975,0.254,11,4,0
Pharmacist,0.557,0.486,0.606,4,144317,0.622,3,4,1
Teacher,0.274,0.531,1.0,4,55492,0.314,7,6,0
Marketing Manager,0.406,0.821,0.819,4,81206,0.478,5,7,0
Security Guard,0.789,0.049,0.291,1,32356,0.705,10,12,2
Research Scientist,0.148,0.952,0.645,4,110504,0.41,10,5,0
Social Worker,0.134,0.598,1.0,3,54850,0.256,11,8,0
Accountant,0.56,0.374,0.379,2,74517,0.76,16,2,2
Warehouse Worker,0.763,0.109,0.203,1,40383,0.86,1,3,2
HR Manager,0.349,0.513,0.884,4,94991,0.481,17,9,0
Pharmacist,0.6,0.391,0.599,4,156283,0.587,5,4,1
Warehouse Worker,0.736,0.215,0.166,1,35105,0.841,9,3,2
Accountant,0.542,0.37,0.369,3,68119,0.699,12,2,1
Financial Analyst,0.677,0.528,0.457,4,81886,0.731,15,2,1
Radiologist,0.534,0.541,0.492,4,285121,0.705,10,4,1
Research Scientist,0.161,1.0,0.623,5,102538,0.452,16,5,0
Security Guard,0.796,0.106,0.372,1,30029,0.604,11,12,2
Radiologist,0.469,0.452,0.516,5,354528,0.661,5,4,1
Lawyer,0.478,0.759,0.71,5,118813,0.52,0,10,0
Cook / Chef,0.555,0.593,0.456,1,39684,0.425,0,11,1
Accountant,0.574,0.343,0.427,3,74071,0.698,7,2,2
Customer Service Rep,0.841,0.09,0.614,1,32513,0.864,9,1,2
Social Worker,0.26,0.447,0.902,4,48023,0.162,3,8,0
Warehouse Worker,0.882,0.119,0.097,1,44903,0.917,11,3,2
Security Guard,0.798,0.121,0.314,1,39132,0.667,6,12,2
Customer Service Rep,0.822,0.057,0.636,2,30721,0.974,11,1,2
Financial Analyst,0.487,0.514,0.462,3,109461,0.763,7,2,1
Truck Driver,0.662,0.234,0.227,1,44409,0.711,12,3,2
Lawyer,0.349,0.692,0.823,4,121327,0.599,11,10,0
Software Engineer,0.225,0.703,0.512,4,148342,0.602,11,5,0
Teacher,0.194,0.781,0.936,4,56163,0.353,12,6,0
Research Scientist,0.18,0.895,0.441,4,122644,0.478,7,5,0
Warehouse Worker,0.794,0.205,0.243,1,43835,0.939,8,3,2
Marketing Manager,0.351,0.814,0.7,3,92040,0.475,8,7,0
Data Entry Clerk,1.0,0.058,0.202,1,40149,0.995,12,0,2
Radiologist,0.541,0.488,0.447,5,381405,0.612,16,4,1
Nurse,0.344,0.504,0.977,2,69650,0.224,5,4,0
Cook / Chef,0.581,0.719,0.362,1,29999,0.431,5,11,1
Truck Driver,0.637,0.081,0.254,1,53334,0.826,7,3,2
Cook / Chef,0.524,0.61,0.457,1,35452,0.37,10,11,1
Nurse,0.313,0.408,0.945,3,77926,0.314,9,4,0
Cook / Chef,0.548,0.66,0.388,1,36563,0.436,3,11,1
Accountant,0.71,0.337,0.457,3,88810,0.678,1,2,2
Graphic Designer,0.381,0.839,0.519,2,62199,0.583,9,7,1
Customer Service Rep,0.857,0.173,0.588,1,34216,0.821,16,1,2
Pharmacist,0.638,0.469,0.625,4,102136,0.607,9,4,1
Research Scientist,0.197,0.895,0.606,5,92237,0.393,10,5,0
Customer Service Rep,0.758,0.13,0.635,1,35779,0.843,2,1,2
Software Engineer,0.412,0.79,0.542,4,115885,0.544,8,5,1
Accountant,0.698,0.249,0.471,2,78800,0.765,0,2,2
Graphic Designer,0.401,0.874,0.389,3,55485,0.511,16,7,1
Marketing Manager,0.319,0.935,0.807,4,95111,0.519,9,7,0
Lawyer,0.276,0.746,0.782,4,127814,0.649,10,10,0
Marketing Manager,0.221,0.675,0.894,3,90765,0.482,11,7,0
Lawyer,0.39,0.83,0.766,5,143353,0.49,14,10,0
Pharmacist,0.685,0.529,0.638,3,130991,0.605,3,4,1
HR Manager,0.401,0.564,0.738,3,71106,0.468,8,9,1
Pharmacist,0.609,0.518,0.595,4,147000,0.566,7,4,1
Telemarketer,0.895,0.129,0.476,1,32811,0.841,8,1,2
Lawyer,0.388,0.817,0.693,5,128720,0.51,9,10,0
Data Entry Clerk,0.891,0.101,0.255,1,34050,0.905,12,0,2
HR Manager,0.446,0.555,0.778,4,77940,0.558,12,9,1
Truck Driver,0.719,0.108,0.267,1,49681,0.78,8,3,2
Social Worker,0.181,0.6,0.952,4,43006,0.22,7,8,0
Warehouse Worker,0.904,0.048,0.235,1,30586,0.855,6,3,2
Warehouse Worker,0.854,0.037,0.153,1,33265,0.84,17,3,2
Graphic Designer,0.35,0.86,0.627,2,54836,0.648,2,7,1
Marketing Manager,0.321,0.718,0.773,3,83118,0.481,5,7,0
Software Engineer,0.352,0.775,0.577,3,121741,0.599,11,5,1
Teacher,0.266,0.686,1.0,4,60583,0.22,9,6,0
Pharmacist,0.716,0.412,0.671,5,151418,0.571,9,4,1
Software Engineer,0.334,0.799,0.45,3,129794,0.584,8,5,1
Teacher,0.365,0.655,1.0,4,56410,0.222,7,6,0
Nurse,0.358,0.474,0.829,2,65787,0.303,10,4,0
Teacher,0.242,0.716,0.882,3,60432,0.282,6,6,0
Customer Service Rep,0.715,0.117,0.625,2,34460,0.867,9,1,2
Marketing Manager,0.275,0.83,0.842,4,81443,0.479,17,7,0
Lawyer,0.356,0.791,0.649,4,154249,0.554,13,10,0
Research Scientist,0.219,0.93,0.596,5,120183,0.379,7,5,0
Nurse,0.407,0.507,0.919,2,66830,0.246,0,4,0
HR Manager,0.424,0.617,0.83,4,64611,0.474,4,9,0
Software Engineer,0.288,0.821,0.542,3,103840,0.629,13,5,1
Software Engineer,0.315,0.783,0.56,3,141108,0.57,6,5,1
Lawyer,0.319,0.764,0.821,4,128156,0.542,9,10,0
Telemarketer,0.809,0.141,0.303,1,28452,0.899,3,1,2
Pharmacist,0.514,0.438,0.588,5,135449,0.582,10,4,1
HR Manager,0.36,0.686,0.77,3,82365,0.472,10,9,0
Cook / Chef,0.447,0.673,0.419,1,29378,0.326,6,11,1
HR Manager,0.549,0.397,0.739,4,75313,0.536,9,9,1
Marketing Manager,0.308,0.768,0.854,4,80167,0.53,13,7,0
Truck Driver,0.692,0.164,0.106,1,42063,0.849,9,3,2
HR Manager,0.484,0.494,0.811,4,69003,0.587,4,9,1
Telemarketer,0.978,0.153,0.496,1,29215,0.766,6,1,2
Teacher,0.294,0.74,0.922,3,58382,0.255,5,6,0
Lawyer,0.334,0.739,0.772,4,134048,0.552,12,10,0
Warehouse Worker,0.906,0.181,0.188,1,37025,0.818,11,3,2
Data Entry Clerk,0.908,0.024,0.142,1,34238,0.922,3,0,2
Financial Analyst,0.635,0.529,0.616,4,106832,0.671,12,2,1
Warehouse Worker,0.781,0.074,0.219,1,38107,0.858,6,3,2
Lawyer,0.411,0.854,0.769,4,135699,0.564,11,10,0
HR Manager,0.487,0.454,0.771,4,90419,0.491,5,9,1
Graphic Designer,0.353,0.968,0.498,2,58256,0.543,9,7,1
Warehouse Worker,0.825,0.108,0.124,1,37286,0.78,8,3,2
Cook / Chef,0.617,0.699,0.464,1,33936,0.344,6,11,1
Financial Analyst,0.582,0.513,0.484,4,79426,0.771,4,2,1
Telemarketer,0.926,0.206,0.448,1,34953,0.928,3,1,2
Security Guard,0.852,0.139,0.372,1,27086,0.707,10,12,2
Customer Service Rep,0.959,0.144,0.792,2,38159,0.865,5,1,2
Security Guard,0.733,0.13,0.362,1,34689,0.753,13,12,2
Truck Driver,0.788,0.205,0.245,1,47764,0.832,12,3,2
Data Entry Clerk,0.974,0.066,0.221,1,34447,0.914,18,0,2
Cook / Chef,0.508,0.674,0.495,1,27736,0.321,4,11,1
Pharmacist,0.593,0.415,0.612,5,133383,0.641,10,4,1
Truck Driver,0.72,0.215,0.166,1,42398,0.86,15,3,2
Software Engineer,0.279,0.785,0.483,3,128171,0.572,13,5,1
Radiologist,0.504,0.576,0.529,4,373952,0.821,8,4,1
Lawyer,0.305,0.857,0.755,4,143060,0.633,8,10,0
Pharmacist,0.548,0.451,0.652,4,123257,0.588,11,4,1
Software Engineer,0.291,0.91,0.615,4,89593,0.622,3,5,0
Radiologist,0.498,0.658,0.433,4,246434,0.704,10,4,1
Social Worker,0.222,0.483,0.909,5,49636,0.241,9,8,0
Social Worker,0.288,0.571,0.98,4,43920,0.138,5,8,0
Pharmacist,0.49,0.491,0.717,5,135670,0.634,12,4,1
Data Entry Clerk,0.998,0.0,0.258,1,28557,1.0,10,0,2
Nurse,0.383,0.374,0.972,2,72458,0.373,3,4,1
Data Entry Clerk,1.0,0.069,0.085,1,34636,0.901,3,0,2
Graphic Designer,0.481,0.944,0.391,3,64528,0.615,11,7,1
Marketing Manager,0.364,0.836,0.764,3,94288,0.445,4,7,0
HR Manager,0.436,0.602,0.845,3,83518,0.519,2,9,1
Data Entry Clerk,0.939,0.066,0.098,1,33444,0.908,1,0,2
Nurse,0.418,0.485,0.945,2,73583,0.288,2,4,0
Truck Driver,0.748,0.182,0.257,1,47691,0.856,14,3,2
Nurse,0.318,0.449,0.906,2,65201,0.318,1,4,0
Teacher,0.197,0.702,0.89,4,68464,0.19,10,6,0
Cook / Chef,0.613,0.763,0.477,1,31043,0.365,8,11,1
Telemarketer,0.89,0.188,0.39,1,31699,0.94,5,1,2
Warehouse Worker,0.668,0.127,0.112,1,39879,0.857,7,3,2
HR Manager,0.454,0.499,0.802,4,71112,0.552,0,9,1
Marketing Manager,0.266,0.771,0.763,4,98486,0.46,4,7,0
Lawyer,0.279,0.821,0.769,4,130066,0.626,4,10,0
Pharmacist,0.483,0.42,0.574,5,139059,0.668,7,4,1
Financial Analyst,0.637,0.613,0.404,3,93357,0.677,15,2,1
Accountant,0.625,0.336,0.274,2,86920,0.76,11,2,2
HR Manager,0.468,0.522,0.754,4,78907,0.467,4,9,1
Social Worker,0.221,0.519,1.0,4,56674,0.152,10,8,0
Truck Driver,0.655,0.181,0.14,1,40150,0.868,12,3,2
Customer Service Rep,0.792,0.239,0.527,2,40057,0.813,12,1,2
Financial Analyst,0.671,0.457,0.531,3,100377,0.676,4,2,1
Teacher,0.258,0.681,0.979,3,57177,0.205,12,6,0
Telemarketer,0.889,0.046,0.343,1,29772,0.889,12,1,2
Teacher,0.243,0.749,0.893,3,52939,0.183,6,6,0
HR Manager,0.528,0.576,0.785,4,78709,0.51,7,9,1
Research Scientist,0.222,0.978,0.673,4,103929,0.414,13,5,0
Truck Driver,0.658,0.125,0.3,1,45152,0.822,7,3,2
Research Scientist,0.214,0.837,0.683,5,133808,0.333,7,5,0
HR Manager,0.377,0.601,0.808,3,76816,0.467,8,9,0
Cook / Chef,0.553,0.588,0.539,1,39220,0.465,10,11,1
Research Scientist,0.148,0.955,0.669,3,125659,0.396,13,5,0
Teacher,0.2,0.658,0.878,3,54915,0.28,7,6,0
Social Worker,0.188,0.517,0.955,3,48495,0.156,7,8,0
Accountant,0.56,0.371,0.422,3,69916,0.764,1,2,2
Pharmacist,0.675,0.381,0.506,4,86395,0.706,8,4,1
Financial Analyst,0.545,0.5,0.519,3,91756,0.717,10,2,1
HR Manager,0.456,0.681,0.774,3,81261,0.466,9,9,1
Graphic Designer,0.35,1.0,0.572,3,62067,0.627,11,7,1
Research Scientist,0.231,0.989,0.636,4,128601,0.44,6,5,0
Social Worker,0.178,0.563,0.896,3,52657,0.148,7,8,0
Marketing Manager,0.236,0.858,0.834,3,94552,0.461,12,7,0
Pharmacist,0.513,0.542,0.765,5,142999,0.553,4,4,1
Cook / Chef,0.437,0.675,0.439,1,25903,0.268,9,11,1
Teacher,0.232,0.676,0.89,3,47114,0.191,3,6,0
Customer Service Rep,0.8,0.288,0.622,2,37294,0.901,0,1,2
Truck Driver,0.686,0.074,0.164,1,49662,0.833,4,3,2
Accountant,0.691,0.39,0.464,3,75936,0.822,7,2,2
Marketing Manager,0.336,0.805,0.778,4,75178,0.524,5,7,0
Customer Service Rep,0.89,0.141,0.602,1,39660,0.911,10,1,2
Security Guard,0.701,0.117,0.36,1,29618,0.665,12,12,2
Truck Driver,0.628,0.1,0.154,1,45844,0.845,7,3,2
Financial Analyst,0.603,0.613,0.469,3,99814,0.727,11,2,1
Radiologist,0.513,0.525,0.529,5,327986,0.693,8,4,1
Nurse,0.259,0.463,0.945,3,71888,0.317,7,4,0
Cook / Chef,0.624,0.687,0.547,1,34436,0.411,10,11,1
Accountant,0.541,0.464,0.368,2,71316,0.708,8,2,2
Graphic Designer,0.359,0.858,0.537,2,52750,0.574,11,7,1
Radiologist,0.48,0.585,0.497,5,300595,0.691,13,4,1
Research Scientist,0.193,1.0,0.631,5,104254,0.42,15,5,0
Pharmacist,0.517,0.398,0.655,4,126904,0.557,4,4,1
Security Guard,0.734,0.173,0.257,1,32383,0.759,7,12,2
Graphic Designer,0.353,0.829,0.484,3,54222,0.495,9,7,1
Truck Driver,0.761,0.242,0.251,1,49568,0.843,8,3,2
Accountant,0.709,0.295,0.473,2,78009,0.727,5,2,2
Financial Analyst,0.717,0.601,0.52,4,95581,0.701,0,2,1
Financial Analyst,0.545,0.519,0.503,4,94149,0.654,12,2,1
Marketing Manager,0.343,0.761,0.792,3,86954,0.513,5,7,0
Nurse,0.335,0.555,0.826,3,71431,0.254,13,4,0
Customer Service Rep,0.803,0.121,0.56,1,36143,0.934,0,1,2
Telemarketer,0.953,0.063,0.412,1,30875,0.941,7,1,2
Data Entry Clerk,0.918,0.083,0.182,1,29190,0.954,17,0,2
Financial Analyst,0.52,0.632,0.561,2,93763,0.699,13,2,1
Security Guard,0.787,0.082,0.444,1,26897,0.716,13,12,2
Marketing Manager,0.333,0.805,0.78,4,90543,0.593,7,7,0
Financial Analyst,0.619,0.563,0.536,4,93922,0.65,8,2,1
Security Guard,0.747,0.132,0.28,1,32336,0.689,1,12,2
Lawyer,0.369,0.839,0.776,4,146821,0.535,12,10,0
Financial Analyst,0.58,0.611,0.546,3,88090,0.683,7,2,1
Research Scientist,0.114,1.0,0.501,5,128147,0.452,11,5,0
Teacher,0.231,0.7,1.0,3,63455,0.142,9,6,0
Telemarketer,0.969,0.05,0.455,1,31318,0.845,7,1,2
Marketing Manager,0.251,0.836,0.857,4,95245,0.549,9,7,0
Customer Service Rep,0.744,0.121,0.58,2,39329,0.937,11,1,2
Warehouse Worker,0.857,0.019,0.203,1,47193,0.817,6,3,2
Cook / Chef,0.562,0.704,0.439,1,30439,0.431,4,11,1
Truck Driver,0.718,0.176,0.21,1,46455,0.78,16,3,2
Research Scientist,0.233,1.0,0.54,5,115499,0.333,3,5,0
Customer Service Rep,0.821,0.097,0.656,2,34094,0.835,11,1,2
Nurse,0.363,0.492,0.863,2,72269,0.237,0,4,0
Cook / Chef,0.51,0.765,0.394,1,34129,0.428,6,11,1
Radiologist,0.612,0.566,0.523,5,317264,0.706,3,4,1
Social Worker,0.14,0.565,1.0,4,46167,0.065,12,8,0
Financial Analyst,0.611,0.547,0.412,3,89919,0.774,8,2,2
Marketing Manager,0.377,0.852,0.851,3,92002,0.527,11,7,0
Marketing Manager,0.321,0.871,0.794,4,98291,0.436,13,7,0
Financial Analyst,0.515,0.713,0.622,3,101236,0.748,0,2,1
Pharmacist,0.658,0.519,0.588,5,120311,0.556,8,4,1
Lawyer,0.399,0.922,0.769,4,135399,0.523,8,10,0
HR Manager,0.49,0.475,0.93,3,79778,0.486,5,9,1
Marketing Manager,0.289,0.736,0.853,4,101081,0.595,6,7,0
HR Manager,0.472,0.657,0.768,4,80386,0.565,10,9,1
Radiologist,0.439,0.649,0.576,5,353247,0.6,12,4,1
Financial Analyst,0.628,0.432,0.552,3,94178,0.672,7,2,1
Lawyer,0.365,0.762,0.772,4,154007,0.557,13,10,0
Radiologist,0.48,0.604,0.487,5,293126,0.674,0,4,1
Telemarketer,1.0,0.207,0.434,1,33229,0.955,6,1,2
Cook / Chef,0.562,0.679,0.452,1,38235,0.423,1,11,1
Warehouse Worker,0.748,0.068,0.252,1,40611,0.856,6,3,2
Graphic Designer,0.383,0.884,0.572,3,56447,0.65,3,7,1
Radiologist,0.369,0.424,0.465,4,288831,0.714,2,4,1
Data Entry Clerk,0.958,0.176,0.179,1,38193,0.994,7,0,2
Financial Analyst,0.528,0.524,0.539,3,110389,0.619,5,2,1
Nurse,0.372,0.55,0.847,2,76592,0.344,8,4,0
Customer Service Rep,0.897,0.168,0.595,2,35901,0.863,7,1,2
Telemarketer,0.797,0.172,0.379,1,29641,0.9,11,1,2
Research Scientist,0.129,0.968,0.637,5,120607,0.452,15,5,0
Pharmacist,0.669,0.353,0.643,5,129613,0.538,4,4,1
Radiologist,0.458,0.54,0.506,5,330692,0.724,9,4,1
Telemarketer,0.935,0.184,0.331,1,29673,0.952,12,1,2
Financial Analyst,0.545,0.406,0.514,4,87594,0.719,6,2,1
